Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CQ1VPA,145.6000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM76KX - RV48 - Associação de Radioamadores Marienses,,,,
2,CQ0VSE,145.6000,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IN60EH - RV48 - Associação de Radioamadores da Beira Alta,,,,
3,CQ1VF,145.6000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58PN - RV48 - Clube de Radioamadores dos Açores,,,,
4,CQ0VCSC,145.6000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58GQ - RV48 - Rede dos Emissores Portugueses,,,,
5,CQ0VCD,145.6125,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59NN - RV49 - Associação de Radioamadores do Distrito de Leiria,,,,
6,CQ0VSF,145.6125,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50UU - RV49 - Rede dos Emissores Portugueses,,,,
7,CQ1VGR,145.6125,-,0.600000,Tone,67.0,67.0,023,NN,FM,12.50,,HM59XA - RV49 - União de Radioamadores dos Açores,,,,
8,CQ0VSA,145.6250,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51PT - RV50 - Associação de Radioamadores do Alto Minho,,,,
9,CQ1VB,145.6250,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77GS - RV50 - Associação de Radioamadores dos Açores,,,,
10,CQ0VTA,145.6250,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM67DF - RV50 - Radioamador Clube de Loulé,,,,
11,CQ0VMST,145.6250,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58JR - RV50 - Rede dos Emissores Portugueses,,,,
12,CQ0VG,145.6375,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IN60FB - RV51 - Associação de Radioamadores da Beira Baixa,,,,
13,CQ0VVAR,145.6375,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59IC - RV51 - Associação de Radioamadores do Oeste,,,,
14,CQ1VSJ,145.6375,-,0.600000,Tone,67.0,67.0,023,NN,FM,12.50,,HM68BN - RV51 - União de Radioamadores dos Açores,,,,
15,CQ0VMA,145.6500,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN61BF - RV52 - Associação de Radioamadores da Beira Alta,,,,
16,CQ1VP,145.6500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM58VJ - RV52 - Grupo de Radioamadores do Pico,,,,
17,CQ0VFO,145.6500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM57QH - RV52 - Radioamador Clube de Loulé,,,,
18,CQ0VCP,145.6625,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IN50NE - RV53 - Associação de Radioamadores da Costa de Prata,,,,
19,CQ1VSS,145.6625,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,HM68LR - RV53 - Associação dos Radioamadores da Praia da Vitória,,,,
20,CQ0VEC,145.6625,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58JT - RV53 - Rede dos Emissores Portugueses,,,,
21,CQ0VSMA,145.6625,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IM69HH - RV53 - Rede dos Emissores Portugueses,,,,
22,CQ0VPD,145.6750,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN61FN - RV54 - Associação de Radioamadores do Alto Tâmega,,,,
