Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CQ0VMU,145.7375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Louriça - Serra Amarela,,,,
2,CQ0VAL,145.7375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Louriça - Serra Amarela,,,,
3,CQ0VSA,145.6250,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Chã Grande - Serra de Arga,,,,
4,CQ0VAN,145.7125,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Rebordãos, Serra da Nogueira",,,,
5,CQ0VPD,145.6750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Padrela  - Serra da Padrela,,,,
6,CQ0VMI,145.7750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Minhéu - Serra do Minhéu,,,,
7,CQ0VBRG,145.7000,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Santa Marta - Braga,,,,
8,CQ0VMA,145.6500,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
9,CQ0VBA,145.7625,-,0.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vandoma - Baltar,,,,
10,CQ0VSF,145.6125,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Pico do Gralheiro, Serra da Freita - Aveiro",,,,
11,CQ0VCO,145.6875,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Arco, Cota - Viseu",,,,
12,CQ0VAR,145.7250,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Posto de Vigia, Serra do Arestal - Aveiro",,,,
13,CQ0VCE,145.7500,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Vale de Azares - Celorico da Beira,,,,
14,CQ0VSE,145.6000,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
15,CQ0VTM,145.7750,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Aveleira - Coimbra,,,,
16,CQ0VCP,145.6625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Brenha - Figueira da Foz,,,,
17,CQ0VLO,145.7000,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Alto do Trevim - Serra da Lousã,,,,
18,CQ0VG,145.6375,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Gardunha - Serra da Gardunha,,,,
19,CQ0VCD,145.6125,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
20,CQ0VENT,145.6875,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Entroncamento (N) - Entroncamento,,,,
21,CQ0VSMA,145.6625,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,São Mamede - Serra de São Mamede,,,,
22,CQ0VMO,145.7500,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Capelas da Serra de Montejunto,,,,
23,CQ0VVAR,145.6375,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Varatojo - Torres Vedras,,,,
24,CQ0VMC,145.6750,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Cabeço de Montachique - Loures,,,,
