Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,CS5GEL,430.1000,,0.000000,Tone,67.0,67.0,023,NN,FM,12.50,,IM68ju - LART,,,,
,CS5IBJA,430.2500,,0.000000,Tone,114.8,114.8,023,NN,FM,12.50,,IM68ba - LART,,,,
,CQ1VMA,145.7875,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM49jl - ARF,,,,
,CQ0VCE,145.7500,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IN60hp - ARBA,,,,
,CS5IMT,430.1750,,0.000000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58lr - LART,,,,
,CQ0UAZ,439.4000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50st - ARBL,,,,
,CQ0UCR,439.4250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59kj - LART,,,,
,CQ0UOAZ*,439.4000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50st - URA,,,,
,CQ0UMN*,439.3500,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IM58vp - REP,,,,
,CQ0UCAR,439.2500,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50vn - ARAT,,,,
,CQ0UAR,438.9500,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50ts - URA,,,,
,CQ0UMA,438.9250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN61bf - URA,,,,
,CQ0UCO,438.9000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IN60bt - URA,,,,
,CQ0UAL,438.8750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59qm - URA,,,,
,CQ0UAM,438.8000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58js - ARAS,,,,
,CQ2VMF,145.7750,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,IM13ta - ARRM,,,,
,CQ0VAM,145.7750,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58js - ARAS,,,,
