Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CQ0DAB,438.212500,-,7.600000,,,,023,NN,FM,,,IN60aq,,,
2,CQ0DAL,438.200000,-,7.600000,,,,023,NN,FM,,,IM59oq,,,
3,CQ0DAM,438.225000,-,7.600000,,,,023,NN,FM,,,IN51wg,,,
4,CQ0DARS,438.575000,,0.000000,,,,023,NN,FM,,,IN50ts,,,
5,CQ0DBA,438.450000,-,7.600000,,,,023,NN,FM,,,IN51te,,,
6,CQ0DBO,438.400000,-,7.600000,Tone,,67,023,NN,FM,,,IN61gq,,,
7,CQ0DCD,438.387500,-,7.600000,,,,023,NN,FM,,,IM59nn,,,
8,CQ0DCH B,438.575000,-,7.600000,,,,023,NN,FM,,,IN61er,,,
9,CQ0DCH C,145.575000,-,0.600000,,,,023,NN,FM,,,IN61er,,,
10,CQ0DCM,438.362500,-,7.600000,,,,023,NN,FM,,,IM69gh,,,
11,CQ0DCO,438.412500,-,7.600000,,,,023,NN,FM,,,IN50se,,,
12,CQ0DCRE,438.500000,-,7.600000,,,,023,NN,FM,,,IM59qm,,,
13,CQ0DCS,438.400000,-,7.600000,,,,023,NN,FM,,,IM58hr,,,
14,CQ0DCSC,438.475000,-,7.600000,,,,023,NN,FM,,,IM58gs,,,
15,CQ0DCV,438.525000,-,7.600000,,,,023,NN,FM,,,IM57px,,,
16,CQ0DEC,438.575000,-,7.600000,,,,023,NN,FM,,,IM58kr,,,
17,CQ0DFF,438.362500,-,7.600000,,,,023,NN,FM,,,IN50ne,,,
18,CQ0DFO,438.200000,-,7.600000,,,,023,NN,FM,,,IM57qh,,,
19,CQ0DFR,438.500000,-,7.600000,,,,023,NN,FM,,,IN50uu,,,
20,CQ0DGM,438.250000,-,7.600000,,,,023,NN,FM,,,IN51rd,,,
21,CQ0DGO,438.400000,-,7.600000,Tone,,123,023,NN,FM,,,IN51rd,,,
22,CQ0DHC,438.325000,-,7.600000,,,,023,NN,FM,,,IN61gr,,,
23,CQ0DKE,145.587500,-,0.600000,,,,023,NN,FM,,,IM59hc,,,
24,CQ0DLA,438.600000,-,7.600000,,,,023,NN,FM,,,IM57px,,,
25,CQ0DLIZ,438.237500,-,7.600000,,,,023,NN,FM,,,IM59oq,,,
26,CQ0DLR,438.425000,-,7.600000,,,,023,NN,FM,,,IM59nn,,,
27,CQ0DLU,438.400000,-,7.600000,,,,023,NN,FM,,,IN60bt,,,
28,CQ0DLX,438.500000,-,7.625000,,,,023,NN,FM,,,IM58kr,,,
