Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CQ0FMC,51.9900,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Cabeço de Montachique - Loures",,,,
2,CQ0VSE,145.6000,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Torre - Serra da Estrela",,,,
3,CQ0VCSC,145.6000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Cascais (repetidor local)",,,,
4,CQ0VSF,145.6125,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra da Freita - Arouca",,,,
5,CQ0VCD,145.6125,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra dos Candeeiros",,,,
6,CQ0VSA,145.6250,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra de Arga - Viana do Castelo",,,,
7,CQ0VMST,145.6250,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Monsanto - Lisboa ",,,,
8,CQ0VTA,145.6250,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Alcaria do Cume - Tavira",,,,
9,CQ0VG,145.6375,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Serra da Gardunha - Castelo Branco",,,,
10,CQ0VVAR,145.6375,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Varatojo - Torres Vedras",,,,
11,CQ0VMA,145.6500,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra do Marão",,,,
12,CQ0VFO,145.6500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Fóia - Serra de Monchique",,,,
13,CQ0VCP,145.6625,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Serra da Brenha - Figueira da Foz",,,,
14,CQ0VSMA,145.6625,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra de São Mamede ",,,,
15,CQ0VPD,145.6750,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra da Padrela - Valpaços",,,,
16,CQ0VMC,145.6750,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Cabeço de Montachique - Loures",,,,
17,CQ0VCO,145.6875,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra de Côta - Viseu",,,,
18,CQ0VENT,145.6875,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,Entroncamento,,,,
19,CQ0VBRG,145.7000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra de Santa Marta - Braga",,,,
20,CQ0VLO,145.7000,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Alto do Trevim - Serra da Lousã",,,,
21,CQ0VSTC,145.7000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Aldeia Chãos - Santiago do Cacém",,,,
22,CQ0VSI,145.7125,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Santa Eufémia - Serra de Sintra",,,,
23,CQ0VAR,145.7250,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Serra do Arestal - Aveiro",,,,
24,CQ0VSM,145.7250,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Cerro de São Miguel - Olhão",,,,
25,CQ0VARB,145.7375,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra da Arrábida - Setúbal",,,,
26,CQ0VMO,145.7500,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra de Montejunto",,,,
27,CQ0VSP,145.7500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Alto da Forca - Serpa",,,,
28,CQ0VBA,145.7625,-,0.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Baltar - Paredes - Porto",,,,
29,CQ0VTM,145.7750,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Serra do Roxo - Coimbra",,,,
30,CQ0DRLX,438.2375,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Areeiro - Lisboa",,,,
31,CQ0USA,438.6500,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Serra de Arga - Viana do Castelo",,,,
32,CQ0UMST,438.6500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Monsanto - Lisboa",,,,
33,CQ0UMT,438.6500,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"São Pedro de Solis - Mértola",,,,
34,CQ0UM,438.6750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra de Montejunto",,,,
35,CQ0UFO,438.6750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Fóia - Serra de Monchique",,,,
36,CQ0URTD,438.7000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,Amarante,,,,
37,CQ0UCA,438.7000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Serra do Buçaco",,,,
38,CQ0USM,438.7000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Cerro de São Miguel - Olhão",,,,
39,CQ2UFX,438.7000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Pico Alto - Parque Ecológico do Funchal",,,,
40,CQ0UCD,438.7250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Serra dos Candeeiros",,,,
41,CQ0UVAR,438.7500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Varatojo - Torres  Vedras",,,,
