Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CQ0VTA,145.5750,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Alcaria do Cume - Tavira,,,,
2,CQ0VSE,145.6000,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
3,CQ0VCSC,145.6000,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Bombeiros Voluntários de Cascais,,,,
4,CQ1VF,145.6000,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Gordo - Ilha do Faial,,,,
5,CQ1VPA,145.6000,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico Alto - Ilha de Santa Maria,,,,
6,CQ0VSF,145.6125,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Pico do Gralheiro, Serra da Freita - Aveiro",,,,
7,CQ0VCD,145.6125,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
8,CQ1VGR,145.6125,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Caldeirinha - Ilha da Graciosa,,,,
9,CQ0VSA,145.6250,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Chã Grande - Serra de Arga,,,,
10,CQ0VMST,145.6250,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Comando da F.A.P., Monsanto - Lisboa",,,,
11,CQ1VB,145.6250,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico da Barrosa - Ilha de São Miguel,,,,
12,CQ0VTA,145.6250,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,Alcaria do Cume - Tavira,,,,
13,CQ0VG,145.6375,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Gardunha - Serra da Gardunha,,,,
14,CQ0VVAR,145.6375,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Varatojo - Torres Vedras,,,,
15,CQ1VSJ,145.6375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,São Tomé - Ilha de São Jorge,,,,
16,CQ0VMA,145.6500,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
17,CQ0VFO,145.6500,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
18,CQ1VP,145.6500,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Lages do Pico - Ilha do Pico,,,,
19,CQ0VCP,145.6625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Brenha - Figueira da Foz,,,,
20,CQ0VSMA,145.6625,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,São Mamede - Serra de São Mamede,,,,
21,CQ0VEC,145.6625,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Serra da Amoreira (NE) – Odivelas,,,,
22,CQ1VSS,145.6625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Miradouro do Facho - Ilha Terceira,,,,
23,CQ0VPD,145.6750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Padrela  - Serra da Padrela,,,,
24,CQ0VMC,145.6750,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Cabeço de Montachique - Loures,,,,
25,CQ1VPM,145.6750,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Rosais - Ilha de São Jorge,,,,
26,CQ0VCO,145.6875,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Arco, Cota - Viseu",,,,
27,CQ0VENT,145.6875,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Entroncamento (N) - Entroncamento,,,,
28,CQ0VBRG,145.7000,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Santa Marta - Braga,,,,
29,CQ0VLO,145.7000,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Alto do Trevim - Serra da Lousã,,,,
30,CQ0VSTC,145.7000,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Aldeia de Chãos - Santiago do Cacém,,,,
31,CQ1VSB,145.7000,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
32,CQ0VAN,145.7125,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Rebordãos, Serra da Nogueira",,,,
33,CQ0VSI,145.7125,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santa Eufémia (Ermida) - Sintra,,,,
34,CQ0VAR,145.7250,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Posto de Vigia, Serra do Arestal - Aveiro",,,,
35,CQ0VSM,145.7250,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
36,CQ1VCM,145.7250,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Ladeira da Na. Sra. da Pena (E) – Ilha Terceira,,,,
37,CQ0VMU,145.7375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Louriça - Serra Amarela,,,,
38,CQ0VAL,145.7375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Louriça - Serra Amarela,,,,
39,CQ0VARB,145.7375,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Outão, Serra da Arrábida - Setúbal",,,,
40,CQ1VDX,145.7375,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
41,CQ0VCE,145.7500,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Vale de Azares - Celorico da Beira,,,,
42,CQ0VMO,145.7500,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Capelas da Serra de Montejunto,,,,
43,CQ0VSP,145.7500,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Miradouro - Serpa,,,,
44,CQ1VPB,145.7500,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Bartolomeu - Ilha de São Miguel,,,,
45,CQ0VBA,145.7625,-,0.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vandoma - Baltar,,,,
46,CQ0VFD,145.7625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
47,CQ0VMI,145.7750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Minhéu - Serra do Minhéu,,,,
48,CQ0VTM,145.7750,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Aveleira - Coimbra,,,,
49,CQ0VDLX,145.7750,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Pico de Flores - Porto Santo,,,,
50,CQ1VPV,145.7750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Verde - Ilha do Faial,,,,
51,CQ1VSC,145.7750,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Santos de Cima (SE) - Ilha de São Miguel,,,,
52,CQ0VAM,145.775000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58js,,,,
53,CQ2VMF,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,IM13ta,,,,
54,CQ1VFLW,145.7875,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico do Morro Alto - Ilha das Flores,,,,
55,CQ1VMA,145.787500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM49jl,,,,
56,CS5GEL,430.100000,,0.000000,Tone,67,67,023,NN,FM,12.50,,IM68ju,,,,
57,CS5IMT,430.175000,,0.000000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58lr,,,,
58,CS5IBJA,430.250000,,0.000000,Tone,114.8,114.8,023,NN,FM,12.50,,IM68ba,,,,
59,CQ0UHU,431.3500,-,-7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
60,CQ0DUE,438.2125,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Estrela - Serra da Estrela,,,,
61,CQ0DRLX,438.2375,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Praça de Londres, Areeiro - Lisboa",,,,
62,CQ0DUAI,438.2750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
